SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DOCK9	23348	4.68545	4.03066	NA	NA	NA	NA
DOHH	83475	7.99939	9.27215	cerebral-cortex	glial-cells	Medium	Approved
DOK1	1796	14.6111	19.9532	NA	NA	NA	NA
DOK3	79930	6.23456	4.51624	NA	NA	NA	NA
DOK4	55715	7.1642	6.01007	NA	NA	NA	NA
DOK5	55816	14.4168	27.4623	NA	NA	NA	NA
DOK6	220164	2.73259	1.83068	NA	NA	NA	NA
DOK7	285489	0.540481	0.585129	cerebral-cortex	glial-cells	Medium	Approved
DOLK	22845	16.0565	17.2517	NA	NA	NA	NA
DOLPP1	57171	14.8376	17.2279	NA	NA	NA	NA
DONSON	29980	26.4351	29.0476	NA	NA	NA	NA
DOT1L	84444	13.1574	18.8636	NA	NA	NA	NA
DPAGT1	1798	20.9053	23.3706	cerebral-cortex	glial-cells	Low	Approved
DPCD	25911	27.2787	27.9263	NA	NA	NA	NA
DPF1	8193	6.24841	11.1064	NA	NA	NA	NA
DPF2	5977	38.3506	44.7564	NA	NA	NA	NA
DPF3	8110	10.8731	14.5381	NA	NA	NA	NA
DPH1	1801	13.247	17.5039	cerebral-cortex	glial-cells	High	Approved
DPH2	1802	12.7996	13.5689	NA	NA	NA	NA
DPH3	285381	19.8717	17.4436	NA	NA	NA	NA
DPH3P1	100132911	2.13806	1.32095	NA	NA	NA	NA
DPH5	51611	25.8359	27.3946	NA	NA	NA	NA
DPH6	89978	9.64648	11.5729	cerebral-cortex	glial-cells	Low	Approved
DPH7	92715	21.048	25.2652	NA	NA	NA	NA
DPM1	8813	28.8721	29.9811	cerebral-cortex	glial-cells	Low	Approved
DPM2	8818	27.9629	36.2208	NA	NA	NA	NA
