SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
IL18BP	10068	5.92569	3.51345	NA	NA	NA	NA
IL1R1	3554	0.185021	0.111925	NA	NA	NA	NA
IL1RAP	3556	1.96923	1.67182	NA	NA	NA	NA
IL1RAPL1	11141	0.239934	0.192652	NA	NA	NA	NA
IL1RAPL2	26280	0.14858	0.391289	NA	NA	NA	NA
IL20RB	53833	0.810262	0.834643	NA	NA	NA	NA
IL21R	50615	0.0280298	0.0466836	NA	NA	NA	NA
IL21R-AS1	283888	0.212299	0.393468	NA	NA	NA	NA
IL23A	51561	0.160959	0.191858	NA	NA	NA	NA
IL27RA	9466	1.33728	1.84711	NA	NA	NA	NA
IL2RB	3560	0.0812623	0.454956	NA	NA	NA	NA
IL31RA	133396	0.0497824	0.0365645	NA	NA	NA	NA
IL32	9235	0.139351	0.595986	NA	NA	NA	NA
IL33	90865	0.427531	0.779576	NA	NA	NA	NA
IL34	146433	0.056308	0.388014	NA	NA	NA	NA
IL3RA	3563	1.02151	0.961252	NA	NA	NA	NA
IL4I1	259307	0.164504	0.104877	NA	NA	NA	NA
IL4R	3566	0.814249	0.474209	NA	NA	NA	NA
IL6R	3570	0.771559	0.737748	NA	NA	NA	NA
IL6ST	3572	20.8418	15.1406	NA	NA	NA	NA
IL6STP1	3573	0.11003	0.196743	NA	NA	NA	NA
IL7	3574	1.00523	0.783019	NA	NA	NA	NA
IL7R	3575	0	0	NA	NA	NA	NA
ILDR2	387597	8.24015	5.98133	NA	NA	NA	NA
ILF2	3608	168.419	193.674	cerebral-cortex	glial-cells	High	Supported
ILF3	3609	182.73	132.391	cerebral-cortex	glial-cells	High	Supported
ILK	3611	92.0959	84.9242	NA	NA	NA	NA
ILKAP	80895	27.088	28.3331	NA	NA	NA	NA
ILVBL	10994	20.2327	21.4742	cerebral-cortex	glial-cells	Medium	Approved
IMMP1L	196294	25.2996	34.071	NA	NA	NA	NA
IMMP2L	83943	12.2008	7.35197	cerebral-cortex	glial-cells	Medium	Approved
IMMT	10989	49.8662	57.0462	NA	NA	NA	NA
IMP3	55272	20.4551	26.8385	NA	NA	NA	NA
IMP4	92856	19.0692	20.0476	NA	NA	NA	NA
IMPA1	3612	14.2746	16.2579	NA	NA	NA	NA
IMPA2	3613	6.45587	5.24071	NA	NA	NA	NA
IMPACT	55364	15.3049	15.8271	cerebral-cortex	glial-cells	Low	Approved
