SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CHMP1A	5119	38.1071	35.882	33.1544	36.3089	NA	NA	NA	NA
CHMP1B	57132	19.299	18.6925	16.9498	22.675	NA	NA	NA	NA
CHMP2A	27243	111.455	94.0027	89.2703	101.239	cerebral-cortex	glial-cells	Low	Enhanced
CHMP2B	25978	16.2398	12.514	14.7234	16.8899	NA	NA	NA	NA
CHMP3	51652	81.1212	77.2489	78.1363	87.8123	cerebral-cortex	glial-cells	Medium	Supported
CHMP4A	29082	46.2235	53.907	57.6581	65.6272	NA	NA	NA	NA
CHMP4B	128866	17.4271	28.6379	25.4658	20.4568	NA	NA	NA	NA
CHMP4BP1	100307126	1.25403	2.33635	2.70106	1.52507	NA	NA	NA	NA
CHMP5	51510	34.7011	25.9434	30.1024	38.6988	NA	NA	NA	NA
CHMP6	79643	18.8596	15.394	13.6743	13.1171	cerebral-cortex	glial-cells	Low	Approved
CHMP7	91782	18.3613	21.643	17.8819	18.7649	NA	NA	NA	NA
CHN1	1123	87.2801	67.4789	78.0158	79.7639	NA	NA	NA	NA
CHN2	1124	3.03255	3.46551	4.26714	1.39201	cerebral-cortex	glial-cells	Low	Approved
CHODL	140578	1.79009	2.27381	0.393581	3.14623	NA	NA	NA	NA
CHORDC1	26973	22.5604	19.5207	22.5304	36.8729	NA	NA	NA	NA
CHP1	11261	38.9501	29.9294	31.8085	38.0139	cerebral-cortex	glial-cells	Low	Approved
CHPF	79586	29.6657	24.9046	19.8454	28.5065	cerebral-cortex	glial-cells	Low	Approved
CHPF2	54480	15.2642	13.1493	12.702	12.2798	cerebral-cortex	glial-cells	Medium	Approved
CHPT1	56994	31.7528	18.7358	23.6066	32.3652	NA	NA	NA	NA
CHRAC1	54108	10.9786	14.1494	12.7663	8.61972	NA	NA	NA	NA
CHRD	8646	3.02436	3.15948	5.03339	3.7776	NA	NA	NA	NA
CHRDL1	91851	32.556	27.6927	30.7183	10.2144	NA	NA	NA	NA
CHRDL2	25884	0.103552	0.443261	0.1621	0.19532	NA	NA	NA	NA
CHRFAM7A	89832	0.262071	0.404412	0.369938	0.36526	NA	NA	NA	NA
CHRM1	1128	0	0.438718	0.0796276	0.0634829	NA	NA	NA	NA
CHRM3	1131	1.77962	1.88044	1.43198	0.319513	cerebral-cortex	glial-cells	Low	Approved
CHRM3-AS2	100506915	0.150407	0.413065	0.398277	0.0619023	NA	NA	NA	NA
CHRM4	1132	0.459553	1.1495	0.217068	0.288311	cerebral-cortex	glial-cells	Low	Enhanced
CHRM5	1133	0.189365	0.351571	0.318718	0.283784	NA	NA	NA	NA
CHRNA10	57053	1.02374	1.3929	1.49038	0.655833	NA	NA	NA	NA
CHRNA2	1135	0.177365	0.290723	0.30461	0.0664926	NA	NA	NA	NA
CHRNA3	1136	1.02386	0.748716	0.411845	0.0561768	cerebral-cortex	glial-cells	Low	Approved
CHRNA5	1138	2.89031	9.42644	4.71592	2.65508	cerebral-cortex	glial-cells	High	Approved
CHRNA7	1139	0.518589	0.608309	0.639593	1.15432	cerebral-cortex	glial-cells	Medium	Enhanced
CHRNA9	55584	0.0467658	0.190109	0.0795227	0.147053	NA	NA	NA	NA
CHRNB1	1140	12.3248	7.08247	7.10736	6.65248	cerebral-cortex	glial-cells	Low	Approved
CHRNB2	1141	0.395802	3.19954	1.51254	0.979777	NA	NA	NA	NA
CHRNE	1145	0.243053	0	0.0334168	0.162822	NA	NA	NA	NA
CHRNG	1146	0.684836	0.62388	1.01694	0.449734	NA	NA	NA	NA
CHST1	8534	0.0839672	0.139663	0.0874099	0.380906	NA	NA	NA	NA
CHST10	9486	101.197	54.4608	55.6752	52.0618	cerebral-cortex	glial-cells	High	Approved
CHST11	50515	19.7558	19.959	14.6528	23.5119	NA	NA	NA	NA
CHST12	55501	5.18083	4.72784	2.71836	4.10727	NA	NA	NA	NA
CHST14	113189	7.85851	6.78675	5.72635	5.72707	NA	NA	NA	NA
CHST15	51363	26.3599	27.2045	16.9546	13.5258	cerebral-cortex	glial-cells	Low	Approved
CHST2	9435	3.26861	1.64626	1.12485	5.71248	NA	NA	NA	NA
CHST3	9469	39.3789	34.2153	32.1361	54.4883	NA	NA	NA	NA
CHST4	10164	0.383593	0.337727	0.29064	0.189405	NA	NA	NA	NA
CHST5	23563	0.338938	0.909937	0.729822	0.401142	NA	NA	NA	NA
CHST6	4166	32.6754	11.2324	12.7745	15.1732	NA	NA	NA	NA
CHST7	56548	4.67069	5.77235	5.00508	3.16239	NA	NA	NA	NA
CHST8	64377	0.301823	0.389885	0.114649	0.838201	NA	NA	NA	NA
CHST9	83539	2.60876	7.56436	3.71403	4.02389	NA	NA	NA	NA
CHSY1	22856	24.0779	30.8553	25.6952	23.5151	NA	NA	NA	NA
CHSY3	337876	1.27531	1.91884	0.579208	1.41374	NA	NA	NA	NA
CHTF18	63922	18.7558	21.5538	20.4789	12.1702	NA	NA	NA	NA
CHTOP	26097	28.9854	36.0772	30.9032	31.5863	cerebral-cortex	glial-cells	High	Approved
CHUK	1147	13.5678	14.7784	14.6585	13.5095	cerebral-cortex	glial-cells	Medium	Approved
CHURC1	91612	52.7597	27.3443	36.9911	41.0753	NA	NA	NA	NA
