Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_CKO_ALL
'HMR_9805',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'INSTt4',1,Inf,1,1.125,1,1,1.11610603007286,1,1,1.08173076923077,1.125,1.11610603007286,1.11610603007286,1.11610603007286,Inf
'IPDDI',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'IPDPtx',1,1,1,1,1,1,1,1,1,1.0001457645002,1,1,1,1,Inf
'LCAT23e',1,1,1,1,1,1,1,1,1,1.02777777777778,1,0.999999999999999,1,1,Inf
'LNS14DM',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'LNSTLSr',1,0.999999999999999,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'LPASE',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'LPCHOLt',1,1,1,1,1,1,1,1,1,1.16666666666667,1,1,1,1,Inf
'LPS',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,Inf
'LPS3',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'LSTO1r',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'MAGt',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'MEVK1c',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'MEVK1x',1,0.999999999999999,1,1,1,1,1,1,1,1.0001457645001,1,1,1,1,Inf
'MI13456PK',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,Inf
'MI1345PKc',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,Inf
'MI1345PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI134PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI145PK',1,1,1,1,1,1,1,1,1,1,1,Inf,1,1,Inf
'MI145PP',1,1,1,Inf,1,1,Inf,Inf,1,4.4,Inf,1,1,1,Inf
'MI14P4P',Inf,1,1,Inf,1.25,1,1,1,Inf,5.25,Inf,1,1,1,Inf
'MI14PP',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,0.999999999999999,0.999999999999999,Inf
'MI1PP',Inf,3,3,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI1PS',Inf,9.00000000000001,Inf,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI34PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI3PP',1,6,1,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI4PP',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,0.999999999999999,0.999999999999999,Inf
'NDPK3m',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160545,Inf,1,1,1,Inf
'NEU11l',1,1.00233405442332,1,1.28560856199476,1,1,1,1,1,1.00700216326995,1.28560856199476,1,1,1,Inf
'OLEETH',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'PAILAR_HSPLA2',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'PAILPALM_HSPLA2',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'PAILPALM_HSSECt',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'PAILR_HSSECt',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'PCHLN225_HSABCt',1,0.999999999999999,1,1,1,1,1,1,1,1.02752293577982,1,0.999999999999999,1,1,Inf
'PCHOL2LINL_HSABCt',1,0.999999999999999,1,1,1,1,1,1,1,1.02752293577982,1,0.999999999999999,1,1,Inf
'PCHOL2LINL_HSPLA2',1,0.999999999999999,1,1,1,1,1,1,1,1.02752293577982,1,0.999999999999999,1,1,Inf
'PCHOL2OLE_HSABCt',1,0.999999999999999,1,1,1,1,1,1,1,1.02752293577982,1,0.999999999999999,1,1,Inf
