SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
C12orf60	144608	0.800577	0.750434	1.06152	1.00478	NA	NA	NA	NA
C12orf65	91574	10.9428	9.52496	12.0908	11.5614	NA	NA	NA	NA
C12orf66	144577	1.67143	1.0864	1.71306	1.33898	NA	NA	NA	NA
C12orf73	728568	7.47203	7.51476	8.75867	10.8146	NA	NA	NA	NA
C12orf75	387882	38.3551	34.9553	35.7404	22.1821	NA	NA	NA	NA
C12orf76	400073	31.6429	27.2991	15.8189	24.3683	NA	NA	NA	NA
C14orf119	55017	31.5061	29.8136	23.3604	27.6306	NA	NA	NA	NA
C14orf132	56967	8.38625	12.8125	15.6751	15.4046	NA	NA	NA	NA
C14orf178	283579	0.519754	0.309579	0	0.369348	NA	NA	NA	NA
C14orf28	122525	2.38869	2.02694	1.53177	2.55677	NA	NA	NA	NA
C14orf93	60686	7.87703	7.96038	5.68131	8.99213	cerebral-cortex	glial-cells	High	Approved
C15orf39	56905	0.7092	0.646697	3.02618	1.12548	NA	NA	NA	NA
C15orf40	123207	12.0313	10.559	13.9798	12.9649	cerebral-cortex	glial-cells	Low	Approved
C15orf41	84529	4.43326	3.57836	5.90842	4.12262	NA	NA	NA	NA
C15orf61	145853	0.969894	1.35993	3.07238	3.33934	NA	NA	NA	NA
C15orf62	643338	0.795524	0.631548	1.16063	1.15244	NA	NA	NA	NA
C15orf65	145788	6.20876	5.37656	6.17123	4.2005	NA	NA	NA	NA
C16orf46	123775	4.58257	2.73468	3.64803	2.15767	NA	NA	NA	NA
C16orf58	64755	24.9519	21.9521	18.8921	21.4218	NA	NA	NA	NA
C16orf70	80262	7.62839	4.6514	8.84778	8.63882	NA	NA	NA	NA
C16orf71	146562	1.5786	1.01432	0.766654	0.977091	NA	NA	NA	NA
C16orf72	29035	15.6142	15.4746	14.4746	13.4489	NA	NA	NA	NA
C16orf74	404550	8.84919	6.9176	6.32389	4.05497	NA	NA	NA	NA
C16orf86	388284	3.58535	1.30459	1.43414	1.15233	NA	NA	NA	NA
C16orf87	388272	31.7184	32.3788	37.4542	42.5309	NA	NA	NA	NA
C16orf89	146556	0.188703	0.182306	0.0694261	0.451456	NA	NA	NA	NA
C16orf91	283951	10.5478	8.63488	7.65509	8.89026	NA	NA	NA	NA
