SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
C12orf49	79794	10.1358	33.3761	15.9568	21.1798	NA	NA	NA	NA
C12orf60	144608	1.65445	1.96794	1.64442	1.65824	NA	NA	NA	NA
C12orf65	91574	22.8008	15.3731	19.0156	18.122	NA	NA	NA	NA
C12orf66	144577	1.56321	1.41769	1.27614	1.46694	NA	NA	NA	NA
C12orf71	728858	0.572889	0.318285	0.280846	0.119686	NA	NA	NA	NA
C12orf73	728568	21.1777	10.9678	12.5678	14.148	NA	NA	NA	NA
C12orf75	387882	32.3755	71.5014	24.9916	59.1336	NA	NA	NA	NA
C12orf76	400073	12.8802	16.6101	14.0942	17.1784	NA	NA	NA	NA
C14orf119	55017	53.3278	32.6133	47.298	40.0852	NA	NA	NA	NA
C14orf132	56967	29.8333	35.3653	12.1382	20.0516	NA	NA	NA	NA
C14orf178	283579	0	0.352418	0.301384	0.417759	NA	NA	NA	NA
C14orf28	122525	3.36755	1.65069	2.68793	1.7355	NA	NA	NA	NA
C14orf39	317761	1.43738	0.443178	0.395099	0.144276	NA	NA	NA	NA
C14orf93	60686	4.20324	3.88736	4.69092	4.50547	cerebral-cortex	glial-cells	High	Approved
C15orf39	56905	3.09995	4.05507	5.28895	4.49971	NA	NA	NA	NA
C15orf40	123207	18.5851	7.81701	11.7149	11.8284	cerebral-cortex	glial-cells	Low	Approved
C15orf41	84529	5.34297	7.77231	6.47059	6.075	NA	NA	NA	NA
C15orf48	84419	0	0.139214	0.138224	0	NA	NA	NA	NA
C15orf61	145853	5.43578	2.75346	4.15129	2.63139	NA	NA	NA	NA
C15orf62	643338	0.891161	1.64199	1.20402	1.47103	NA	NA	NA	NA
C15orf65	145788	2.63886	5.30921	2.39458	3.59696	NA	NA	NA	NA
C16orf46	123775	0.965092	2.78747	0.997372	2.17648	NA	NA	NA	NA
C16orf58	64755	25.3401	23.117	25.743	25.7601	NA	NA	NA	NA
C16orf70	80262	11.9631	11.0473	11.7871	11.7131	NA	NA	NA	NA
C16orf71	146562	0.250758	0.800371	0.0752728	0.217732	NA	NA	NA	NA
C16orf72	29035	12.4065	11.34	13.6291	11.5184	NA	NA	NA	NA
C16orf74	404550	1.86059	0.443344	0.991274	0.499658	NA	NA	NA	NA
C16orf86	388284	1.72963	1.74532	1.14931	2.34493	NA	NA	NA	NA
C16orf87	388272	21.3391	12.247	11.4318	14.404	NA	NA	NA	NA
C16orf89	146556	0.100735	0.117268	0	0.240937	NA	NA	NA	NA
C16orf91	283951	17.3761	8.93471	12.8545	11.1278	NA	NA	NA	NA
C16orf95	100506581	4.67303	1.71581	3.36154	3.35093	NA	NA	NA	NA
C16orf96	342346	0.0913973	0.159269	0.154557	0.212534	NA	NA	NA	NA
C17orf100	388327	0.421703	0.362832	0.820665	0.856819	NA	NA	NA	NA
C17orf107	100130311	0.404383	0.489956	0.560385	0.72227	NA	NA	NA	NA
C17orf49	124944	87.5653	64.6872	60.5752	67.1659	cerebral-cortex	glial-cells	High	Supported
C17orf58	284018	0.149419	0.355214	0.0389897	0.123993	NA	NA	NA	NA
C17orf67	339210	0.848767	0.504501	0.758107	0.895532	NA	NA	NA	NA
C17orf75	64149	16.9753	21.623	18.0891	21.5716	cerebral-cortex	glial-cells	Medium	Approved
C17orf80	55028	17.038	18.7852	16.5424	17.7253	NA	NA	NA	NA
C17orf82	388407	0.0823136	0.470469	0.321954	0.510877	NA	NA	NA	NA
C18orf21	83608	29.8882	21.0418	19.1391	20.508	NA	NA	NA	NA
